,player_id,pts,reb,ast,blk,stl,fg%,ft%,fg3m,min,tov
180,200746,20.18,8.46,2.3,1.15,0.74,0.49,0.82,0.25,34.73,1.86
181,202362,9.01,3.97,2.61,0.22,0.64,0.44,0.76,0.7,25.13,1.57
182,202498,3.83,2.08,0.58,0.22,0.44,0.41,0.75,0.47,14.65,0.47
183,204038,6.46,2.06,0.96,0.15,0.59,0.39,0.8,1.04,17.95,0.69
184,1626204,8.71,6.15,1.1,0.67,0.89,0.53,0.66,0.08,24.0,0.96
185,2544,26.96,7.56,6.98,0.76,1.49,0.52,0.74,1.51,37.53,3.5
186,101150,21.79,3.17,4.79,0.19,1.06,0.45,0.85,1.91,34.38,2.45
187,201601,6.56,3.11,1.7,0.34,0.81,0.42,0.68,0.89,22.8,0.94
188,1627781,3.5,1.2,0.6,0.2,0.5,0.37,0.0,0.6,11.2,0.3
189,1627763,11.43,2.74,2.32,0.17,0.83,0.43,0.79,1.33,27.18,1.29
190,1627736,3.3,1.07,0.71,0.09,0.38,0.4,0.78,0.38,11.54,0.5
191,201188,14.72,7.01,3.48,1.07,0.86,0.44,0.74,0.85,32.62,2.26
192,101162,8.02,6.19,0.7,0.8,0.51,0.53,0.68,0.0,24.03,0.99
193,201158,10.83,2.46,2.01,0.15,0.8,0.42,0.83,1.38,24.0,1.1
194,202694,9.57,3.53,1.29,0.29,0.6,0.41,0.79,1.31,22.98,1.02
195,203935,9.34,2.47,4.07,0.22,1.15,0.42,0.77,0.84,25.39,1.74
196,1626209,9.69,3.2,2.31,0.27,0.87,0.45,0.81,1.18,24.27,1.31
197,202693,11.56,4.94,1.94,0.4,0.73,0.44,0.79,0.88,29.24,1.28
198,1627737,6.89,4.0,1.57,0.71,0.63,0.44,0.71,0.69,19.13,1.06
199,101107,8.08,3.92,1.2,0.44,0.74,0.42,0.78,1.36,24.96,0.77
200,203486,7.0,5.0,1.1,1.14,0.61,0.5,0.63,0.0,21.98,1.29
201,203521,5.58,1.89,3.31,0.12,0.64,0.42,0.83,0.65,19.42,1.39
202,203090,8.53,4.36,1.61,0.44,0.92,0.45,0.73,0.9,26.07,0.96
203,203086,3.94,1.57,0.5,0.22,0.28,0.45,0.77,0.38,10.84,0.56
204,201563,12.23,5.09,1.55,0.55,0.83,0.45,0.77,0.46,26.48,1.54
205,203487,10.06,3.06,2.61,0.39,0.86,0.45,0.77,0.93,24.44,1.42
206,203077,7.28,3.5,0.96,0.44,0.53,0.46,0.72,0.02,20.49,1.02
207,201144,16.61,2.88,3.72,0.18,0.89,0.42,0.86,1.68,30.87,1.92
208,203488,9.31,4.03,1.57,0.51,0.72,0.42,0.77,1.28,25.48,0.99
209,203118,6.54,2.44,0.93,0.15,0.31,0.44,0.82,0.78,17.85,0.68
210,203101,3.42,2.71,0.58,0.45,0.27,0.44,0.63,0.04,12.55,0.59
211,1626149,7.52,3.57,0.71,0.51,0.36,0.52,0.74,0.05,14.91,0.8
212,1626167,12.97,6.12,1.27,1.45,0.59,0.47,0.74,0.81,28.62,1.28
213,202357,8.8,3.19,1.6,0.39,0.76,0.44,0.74,1.29,24.31,0.86
214,2403,6.44,3.02,0.75,0.3,0.54,0.46,0.77,0.11,16.15,0.78
215,203457,2.93,3.0,0.44,0.46,0.37,0.49,0.55,0.0,11.64,0.56
216,201156,7.71,2.01,1.12,0.11,0.6,0.41,0.82,1.31,19.61,0.66
217,201587,10.82,2.84,3.62,0.28,1.02,0.44,0.79,1.09,26.99,1.43
218,203917,4.7,1.76,1.05,0.17,0.38,0.39,0.72,0.63,15.4,0.68
219,203999,15.07,8.09,3.51,1.04,1.22,0.46,0.73,0.89,34.29,2.24
220,202703,14.87,5.05,1.76,0.56,0.88,0.46,0.79,1.72,32.65,1.4
221,202696,13.27,6.48,2.84,1.15,0.76,0.46,0.75,1.09,30.27,1.49
222,203943,6.55,4.56,1.01,0.41,0.54,0.47,0.72,0.31,18.29,0.78
223,1626181,7.5,2.0,2.05,0.15,0.58,0.42,0.8,1.06,19.68,1.06
224,201956,5.7,3.54,0.72,0.43,0.46,0.45,0.73,0.19,16.39,0.58
225,203490,14.23,4.73,2.36,0.4,1.24,0.45,0.79,1.55,30.47,1.51
226,200782,6.14,3.51,1.31,0.36,0.75,0.41,0.73,1.07,23.94,0.74
227,1627783,6.17,3.12,1.91,0.38,0.72,0.44,0.79,0.61,20.32,0.89
228,1626192,4.96,2.06,0.92,0.14,0.39,0.42,0.7,0.73,15.18,0.65
229,201976,8.96,3.29,2.67,0.32,1.24,0.4,0.74,1.08,27.55,1.33
230,1627775,4.65,1.92,1.32,0.16,0.81,0.41,0.76,0.48,16.52,0.74
231,202335,4.73,2.39,0.9,0.23,0.62,0.41,0.75,0.53,16.19,0.62
232,201988,6.89,2.05,2.1,0.12,0.7,0.4,0.79,0.98,22.11,1.02
233,2200,11.63,8.04,2.37,1.12,0.56,0.48,0.74,0.55,27.24,1.61
234,202331,18.15,4.79,4.35,0.39,1.3,0.42,0.81,2.39,34.59,2.24
235,200794,15.3,6.26,1.82,1.02,0.84,0.46,0.74,1.0,31.16,1.68
236,203112,4.7,2.16,0.65,0.2,0.37,0.41,0.74,0.9,15.68,0.53
237,1626188,8.86,2.47,1.95,0.11,0.51,0.42,0.84,1.14,22.23,1.21
238,200765,7.82,3.03,6.69,0.1,0.97,0.44,0.82,0.73,26.52,1.98
239,203526,8.08,1.75,2.92,0.07,0.55,0.46,0.71,0.78,17.63,1.24
240,101109,6.58,1.66,1.92,0.08,0.61,0.39,0.84,0.88,17.63,0.93
241,203493,9.73,2.65,1.24,0.24,0.74,0.43,0.86,1.56,23.29,0.92
242,202704,13.24,2.68,4.21,0.11,0.66,0.43,0.83,1.25,28.16,1.98
243,1626158,4.35,3.2,0.63,0.44,0.28,0.47,0.74,0.02,13.44,0.61
244,201937,12.04,3.0,4.87,0.2,1.09,0.44,0.84,1.18,28.68,2.2
245,203496,9.63,4.03,1.94,0.42,1.27,0.42,0.72,1.41,27.48,1.15
246,201577,8.43,5.65,1.19,0.95,0.54,0.48,0.72,0.08,23.03,1.12
247,203918,14.53,2.59,2.09,0.15,0.87,0.44,0.86,1.92,27.57,1.36
248,203585,5.21,2.11,0.92,0.2,0.4,0.44,0.72,0.69,18.89,0.57
249,1627758,3.42,1.4,1.56,0.14,0.69,0.43,0.77,0.37,13.33,0.54
250,1626178,14.19,6.45,2.44,0.87,1.09,0.48,0.73,0.24,31.76,1.94
251,200752,13.03,5.5,1.54,0.5,0.78,0.46,0.8,0.62,28.62,1.43
252,203497,13.6,10.38,1.07,2.61,0.64,0.53,0.68,0.0,33.84,1.97
253,201566,26.46,7.29,8.09,0.5,1.6,0.49,0.77,1.61,36.79,3.84
254,201583,5.09,2.38,0.74,0.26,0.48,0.38,0.71,0.83,16.75,0.59
255,1626257,5.04,4.44,0.48,1.33,0.4,0.52,0.62,0.0,17.49,0.77
256,1626155,6.74,3.7,1.11,0.29,0.56,0.46,0.79,0.63,19.8,0.85
257,201586,11.1,5.45,1.17,1.02,0.57,0.44,0.8,1.3,26.05,1.01
258,203894,9.38,2.87,2.63,0.21,0.97,0.41,0.75,1.0,21.73,1.34
259,2733,5.37,1.94,1.69,0.28,0.51,0.47,0.74,0.07,16.98,0.88
260,202714,7.18,2.15,3.79,0.08,0.77,0.43,0.79,0.58,22.52,1.4
261,1627746,8.25,4.79,0.84,0.69,0.42,0.45,0.72,0.36,19.6,1.0
262,203524,3.37,1.93,1.4,0.12,0.71,0.36,0.7,0.45,15.16,0.6
263,203915,13.15,2.91,4.61,0.18,1.1,0.41,0.84,1.4,29.71,1.89
264,1626169,11.47,4.41,2.89,0.32,1.15,0.44,0.7,1.27,31.28,1.41
265,201939,24.22,4.54,5.61,0.29,1.42,0.45,0.87,2.96,36.92,2.87
266,203500,12.84,9.07,1.26,1.17,0.82,0.51,0.62,0.0,31.44,1.53
267,204456,5.73,2.25,4.0,0.11,1.08,0.41,0.78,0.23,20.82,1.4
268,203933,16.28,5.86,1.95,0.58,0.73,0.47,0.79,0.4,32.02,1.66
269,201959,9.4,6.93,1.52,0.92,0.83,0.48,0.67,0.04,28.98,1.19
270,1627752,10.83,3.28,2.18,0.38,0.79,0.42,0.76,1.23,28.05,1.26
271,203082,9.0,3.18,1.85,0.43,0.91,0.41,0.76,1.47,27.96,1.05
272,1626179,11.51,3.75,2.24,0.22,0.99,0.44,0.8,1.32,29.3,1.25
273,200757,9.35,4.03,1.71,0.39,1.09,0.42,0.77,1.17,24.36,0.99
274,201152,11.09,6.06,1.67,0.48,1.16,0.48,0.74,0.71,28.84,1.16
275,1627748,8.78,4.54,1.03,0.84,0.69,0.47,0.73,0.52,21.92,0.83
276,204025,3.91,1.64,2.69,0.09,0.92,0.4,0.76,0.3,15.76,1.03
277,203501,14.81,3.64,2.74,0.25,0.96,0.44,0.79,1.95,31.26,1.62
278,1627789,7.19,2.11,1.39,0.12,0.44,0.43,0.87,0.8,19.63,1.1
279,202699,14.42,4.06,2.5,0.25,0.84,0.44,0.78,1.72,29.97,1.39
280,203107,5.76,2.3,2.22,0.17,0.57,0.42,0.73,0.36,19.8,0.88
281,2225,5.45,1.61,2.38,0.03,0.47,0.43,0.76,0.28,17.09,1.03
282,203503,5.44,2.45,1.0,0.25,0.63,0.42,0.69,0.8,22.05,0.74
283,1626203,4.72,1.76,1.72,0.1,0.6,0.38,0.86,0.56,16.13,0.85
284,2772,11.76,3.69,2.15,0.22,1.21,0.4,0.81,2.36,31.64,1.08
285,203504,11.49,2.25,4.18,0.11,0.69,0.44,0.85,0.91,25.35,1.61
286,1626168,8.48,4.44,1.58,0.44,0.63,0.43,0.79,0.78,21.35,1.05
287,202684,5.93,4.61,0.69,0.51,0.39,0.48,0.65,0.09,17.85,0.85
288,203584,7.62,2.05,1.12,0.14,0.47,0.4,0.84,1.52,20.04,0.71
289,1627786,9.1,4.07,1.5,0.44,1.08,0.48,0.73,0.89,25.15,1.1
290,204020,10.03,3.29,1.49,0.27,0.79,0.43,0.81,1.47,24.02,0.95
291,1627755,6.4,1.86,3.78,0.13,0.74,0.44,0.79,0.38,20.43,1.22
292,203092,6.99,4.35,0.73,0.52,0.39,0.48,0.78,0.08,17.73,0.78
293,201936,15.37,3.59,4.21,0.34,1.17,0.42,0.81,1.53,33.09,1.82
294,2199,6.76,7.19,0.72,0.57,0.56,0.52,0.68,0.0,23.32,0.99
295,1626145,4.54,1.64,2.8,0.18,0.85,0.38,0.73,0.32,15.53,1.03
296,203506,20.34,4.59,5.21,0.33,1.54,0.44,0.82,2.25,35.47,2.48
297,1713,5.96,2.63,1.09,0.28,0.66,0.41,0.77,0.96,17.72,0.82
298,201961,7.24,2.21,0.95,0.12,0.54,0.39,0.85,1.37,19.65,0.61
299,1627782,8.36,2.25,1.99,0.18,0.64,0.42,0.79,0.89,21.24,1.25
300,202325,6.19,3.07,1.5,0.4,0.83,0.4,0.69,0.69,20.17,0.95
301,202083,11.87,3.25,2.45,0.26,1.07,0.42,0.8,1.8,31.44,1.23
302,203115,12.81,3.57,3.35,0.2,0.86,0.43,0.79,1.51,30.47,1.69
303,1626161,11.5,7.3,2.03,0.86,0.98,0.48,0.68,0.06,30.1,1.51
304,1626195,5.99,4.12,0.6,0.57,0.38,0.52,0.7,0.0,14.72,0.86
305,201163,11.46,4.99,1.59,0.45,0.8,0.45,0.81,1.06,29.17,1.15
306,1627812,9.28,2.82,2.07,0.29,0.71,0.4,0.72,1.56,25.59,0.92
307,203897,13.02,2.98,2.44,0.27,0.81,0.42,0.81,1.34,28.17,1.42
308,2585,4.71,3.38,0.79,0.25,0.44,0.46,0.75,0.0,15.2,0.8
